"Index-id"        "Tile-name"        "Location"
568        115F02        z:\arcdata\50k\lims\115f\115f02
575        115F01        z:\arcdata\50k\lims\115f\115f01
602        115C15        z:\arcdata\50k\lims\115c\115c15
607        115C16        z:\arcdata\50k\lims\115c\115c16
618        115B13        z:\arcdata\50k\lims\115b\115b13
636        115C10        z:\arcdata\50k\lims\115c\115c10
641        115C09        z:\arcdata\50k\lims\115c\115c09
653        115B12        z:\arcdata\50k\lims\115b\115b12
655        115B11        z:\arcdata\50k\lims\115b\115b11
690        115B06        z:\arcdata\50k\lims\115b\115b06
692        115B07        z:\arcdata\50k\lims\115b\115b07
723        115B03        z:\arcdata\50k\lims\115b\115b03
725        115B02        z:\arcdata\50k\lims\115b\115b02
759        114O16        z:\arcdata\50k\lims\114o\114o16
761        114P13        z:\arcdata\50k\lims\114p\114p13
763        114P14        z:\arcdata\50k\lims\114p\114p14
770        104P16        z:\arcdata\50k\lims\104p\104p16
765        114P15        z:\arcdata\50k\lims\114p\114p15
772        104P15        z:\arcdata\50k\lims\104p\104p15
771        104M14        z:\arcdata\50k\lims\104m\104m14
773        104M15        z:\arcdata\50k\lims\104m\104m15
782        104O14        z:\arcdata\50k\lims\104o\104o14
777        104N13        z:\arcdata\50k\lims\104n\104n13
784        104O13        z:\arcdata\50k\lims\104o\104o13
783        104N16        z:\arcdata\50k\lims\104n\104n16
